endTime,artistName,trackName,msPlayed
2020-08-26 20:54,Phuong Anh,Con Đường Xưa Em Đi,7981
2020-08-26 20:54,Jacques Greene,Serenity,233540
2020-08-26 20:57,Jacques Greene,Drop Location,169892
2020-08-26 21:00,Jacques Greene,Do It Without You,185024
2020-08-26 21:05,Jacques Greene,Sibling,264100
2020-08-26 21:10,Jacques Greene,Quicksand,300476
2020-08-26 21:11,Jacques Greene,Whenever,68142
2020-08-26 21:16,Jacques Greene,Convex Mirror,279353
2020-08-26 21:20,Jacques Greene,Nordschleife,283049
2020-08-26 21:25,Jacques Greene,Perlant,250406
2020-08-26 21:29,Jacques Greene,Fever Focus,274549
2020-08-26 21:34,Jacques Greene,Someone Else,264098
2020-08-26 21:37,Jacques Greene,Avatar Beach,206763
2020-08-26 21:44,Jacques Greene,Stars,409104
2020-08-26 21:48,Lapalux,Midnight Peelers,212499
2020-08-26 21:50,Last Dinosaurs,Italo Disco,5874
2020-08-26 21:50,Lapalux,Don't Mean A Thing,5735
2020-08-26 21:50,Floating Points,Bias,148739
2020-08-26 21:54,Lapalux,Midnight Peelers,212499
2020-08-26 21:58,Lapalux,Midnight Peelers,209302
2020-08-26 22:03,Lapalux,Don't Mean A Thing,348741
2020-08-26 22:08,Lapalux,U Never Know,269991
2020-08-26 22:11,Lapalux,Sum Body,194076
2020-08-26 22:20,Lapalux,Closure,251937
2020-08-26 22:24,Lapalux,Midnight Peelers,212499
2020-08-26 22:27,Lapalux,Push N' Spun,218630
2020-08-26 22:29,Lapalux,We Lost,136872
2020-08-26 22:30,Lapalux,Autumn - Tape Interlude,18734
2020-08-26 22:36,Peggy Gou,Starry Night - Original Mix,398598
2020-08-26 22:41,Lapalux,Puzzle,254058
2020-08-26 22:44,Lapalux,Bud,222998
2020-08-26 22:50,Lapalux,Don't Mean A Thing,342799
2020-08-26 22:51,Lapalux,Make Money,1904
2020-08-26 22:51,Lapalux,Funny Games,650
2020-08-26 22:51,Lapalux,1004,55008
2020-08-26 22:54,Baltra,You Give Me Love,186268
2020-08-26 22:59,Totally Enormous Extinct Dinosaurs,Don't You Forget About Me,11558
2020-08-26 22:59,Yaeji,WAKING UP DOWN,215264
2020-08-26 23:00,Yaeji,MY IMAGINATION 상상,66107
2020-08-26 23:07,Yaeji,Raingurl,86842
2020-08-26 23:14,Floating Points,Vacuum Boogie,368866
2020-08-27 01:37,Dominica,Gotta Let You Go - Club Mix,230706
2020-08-27 01:42,Dyone,Only Love Can Set U-Free - Bicep Remix,299528
